"EC"	"SMC_Fib"	"Macr"	"T_NK"	"Neut"	"B"
"hsa-miR-183-5p"	5.8433961039249	6.01394106890209	3.19535963227138	1.52884715312798	38.5268413949111	39.5426226537811
"hsa-miR-185-3p"	9.07241986346436	11.02383163562	38.3443155872566	6.27275856060033	35.2022183725433	3.7016708931393
"hsa-miR-185-5p"	66.6560948026833	66.4528917008194	315.623210286662	93.4101187553095	189.536510052463	51.9193362677134
"hsa-miR-186-5p"	5421.10548113821	5588.38446871957	5778.96339789849	18025.2804734382	9841.38160017944	18541.1291582252
"hsa-miR-188-5p"	22.7053748178883	19.3347531300588	17.5744779774926	1.52884715312798	0.581640315477479	0.916413937675065
"hsa-miR-18a-3p"	42.8346803592159	19.4852579421847	10.1814173305823	10.7019065167437	14.250201740576	6.11376603668484
"hsa-miR-18a-5p"	118.022833334115	28.7048426526015	60.6357530219117	29.0363146953517	55.5985145734336	40.4554459371686
"hsa-miR-190a-5p"	4.42178064649845	36.8788182754952	22.3990535084909	3.55560032458042	4.94394268155857	2.57289127292027
"hsa-miR-191-3p"	15.63318817382	14.0858680544334	38.689369701515	8.71646269620297	14.4720299831654	2.44210157488614
"hsa-miR-191-5p"	13623.5143043711	15332.7458694819	34333.8171938334	11064.6785929267	91601.484112578	29807.8926267814
"hsa-miR-1910-5p"	33.5228376931215	7.53132213536448	0	0	0.391135759694926	5.82220508126262
"hsa-miR-192-5p"	289.52179433847	522.018673659816	220.911045319457	7776.73200427109	2875.28885092139	6177.62878306415
"hsa-miR-193a-3p"	1204.95754337216	503.893233909532	276.397943737403	5.35095325837185	5.67146507834986	1.60706763835462
"hsa-miR-193a-5p"	125.048926379276	314.048284951406	234.055755924297	5.93080148901914	147.149653836446	62.5633475721213
"hsa-miR-193b-3p"	286.087842562882	413.939867326276	4.79303114273118	19.6101707031686	0.51691873107724	19.6284794929044
"hsa-miR-194-5p"	9.34945401670819	10.8197232017261	4.07255885488415	172.706331170539	83.7026538564327	101.88546350667
"hsa-miR-195-3p"	28.0718302967509	3.32199023248434	0	0	0.195567879847463	5.52652830422645
"hsa-miR-195-5p"	276.1946891674	42.0794502220431	0.00203927208515533	13.6476303195134	3.52187858045848	118.52969017077
"hsa-miR-196b-5p"	1.81534441902284	0.000744492449404637	4.79043146617446	7.44056966228669	49.9801595621649	3.36307449547532
"hsa-miR-197-3p"	569.494125366867	444.693280542599	1693.70863113412	1449.65453976235	4016.45499617916	800.070588398607
"hsa-miR-1976"	0	0	31.2074589675491	13.441685462663	31.1177288552895	11.3615431084979
"hsa-miR-199a-3p"	128.688418495118	13932.3105301839	81.5335660549709	71.086442583583	1077.35054550977	48.731187113029
"hsa-miR-199a-5p"	30.8793131768277	3213.2205448438	1.41851815187301	5.83324784712691	50.2609141857589	7.52892497104596
"hsa-miR-199b-3p"	57.9458265604494	5753.59285743769	36.5710042173633	27.1105118353671	480.148241148391	20.8121270155956
"hsa-miR-199b-5p"	5.44929509304275	2036.05468361755	76.6885481177542	39.1115364359948	1014.60741179911	14.5939726544264
"hsa-miR-19a-3p"	249.877341584535	127.875858592417	171.500268885714	369.68923185747	245.59946227683	236.270339432864
"hsa-miR-19b-3p"	534.562018064243	302.792744864195	608.685087309084	1899.62545736974	837.652113799089	1848.55678780893
"hsa-miR-200b-3p"	7.44438509885721	1.69653231618557	14.2473123727446	24.3721721173268	19.9867939295697	50.0281430832836
"hsa-miR-200c-3p"	9.60410315323893e-05	0.00611570558035756	29.7893209336123	28.9014015169133	18.1797662784263	52.0940525242522
"hsa-miR-204-5p"	609.100421579314	529.418406571195	0	0	0.581640315477479	1.03857845755264
"hsa-miR-20a-5p"	626.642040310257	156.20634658264	177.356911467128	614.619407430648	284.985266590241	1542.27594752846
"hsa-miR-20b-5p"	2.43779083118138e-05	0.000125328603702334	4.07293041292682	25.9364509514688	6.40199467879352	96.5266432689041
"hsa-miR-21-3p"	5159.18344502933	4972.98345759867	5249.94297685572	932.760689071728	230.201342058211	755.684815409945
"hsa-miR-21-5p"	75120.2152038792	83319.0146182173	194857.398074503	28273.5315433182	6734.57175697583	19040.7975545335
"hsa-miR-210-3p"	84.1214215698122	397.821478957829	595.778220050093	32.1056724399267	5.3414899743729	55.0683246124437
"hsa-miR-210-5p"	7.25795100064252	38.8273794777217	56.740800607849	1.52884715312798	0.172306243692413	3.98035359978959
"hsa-miR-2110"	8.88744554682233	3.52802664251722	9.58607889681415	12.6029555125366	10.1695160031618	8.10051835572062
"hsa-miR-2110-3p"	9.99037861786968	9.0274520526152	15.6036922173102	44.8054782656647	57.582349198137	12.8395764069446
"hsa-miR-2116-3p"	13.036681780123	6.13718701081459	12.7814385290855	0	0	5.36374619443585
"hsa-miR-212-3p"	4.14268665719523	15.1935672727709	23.9651972420354	7.47125661425846	2.03574110417118	1.91336861467713
"hsa-miR-212-5p"	5.17835128539431	17.41594787086	41.1370338576101	7.67352884304521	8.01829338542568	1.40113495566512
"hsa-miR-214-3p"	4.54108352482693	283.341631129719	0	0	0	0.434932324733878
"hsa-miR-214-5p"	1.4812433359134	163.121740443371	0	0	0	0
"hsa-miR-215-5p"	9.32353732000708	9.2882576771976	5.96001182939332	25.4246728543006	9.04746507946808	16.7961088883336
"hsa-miR-216a-3p"	122.710845672428	0	0	0	0	0
"hsa-miR-216a-5p"	82.908480043571	0.683881001009474	0	0	0	0
"hsa-miR-217"	128.787869054823	0	0	0	0.195567879847463	0
"hsa-miR-218-1-3p"	14.3707536492989	57.4080076124671	0	0	0	0
